t,x,raw,speed
56,1,0.0,1.1533965570250742
56,2,0.0,1.2729367143242751
56,3,0.0,1.389819744294436
56,4,0.0,1.5044185434177353
56,5,0.0,1.6170275469898385
56,6,0.0,1.7279054740477109
56,7,0.0,1.838001831659188
56,8,0.0,1.9446759950209729
56,9,0.0,2.0512256658327868
56,10,0.0,2.1556363537837693
56,11,0.0,2.2460585734356826
56,12,0.0,2.3353358918931746
56,13,0.0,2.4122939422241974
56,14,0.0,2.4885216306160003
56,15,0.0,2.564128453958215
56,16,0.0,2.639251426943946
56,17,0.0,2.713598639922948
56,18,0.0,2.7730690584062074
56,19,0.0,2.831707593621174
56,20,0.0,2.9086733094205655
56,21,0.0,2.9951207614939492
56,22,0.0,3.0516676889478362
56,23,0.0,3.1077055238857563
56,24,0.0,3.1632754573839037
56,25,0.0,3.2184469429247136
56,26,0.0,3.273315451448629
56,27,0.0,3.3278973126173903
56,28,0.0,3.399338645200469
56,29,0.0,3.470951178054366
56,30,0.0,3.543113965154498
56,31,0.0,3.622563020878786
56,32,0.0,3.6783983436967973
56,33,0.0,3.7340624121226855
56,34,0.0,3.8060688802319858
56,35,0.0,3.878649487842015
56,36,0.0,3.951523054896553
56,37,0.0,4.035019629430248
56,38,0.0,4.118990555300707
56,39,0.0,4.202973296842224
56,40,0.0,4.2732106907188605
56,41,0.0,4.329057416206937
56,42,0.0,4.385810864603319
56,43,0.0,4.443653844577722
56,44,0.0,4.501807527772357
56,45,0.0,4.575201342223913
56,46,0.0,4.63208183969411
56,47,0.0,4.687507653771037
56,48,0.0,4.742439900295909
56,49,0.0,4.795532404921532
56,50,0.0,4.846708657235584
56,51,0.0,4.926174322809288
56,52,0.0,5.003267313716522
56,53,0.0,5.078204813580938
56,54,0.0,5.14170239951468
56,55,0.0,5.2030809341019975
56,56,0.0,5.2619993640854705
56,57,0.0,5.302815808626214
56,58,0.0,5.340827451025721
56,59,0.0,5.375774258876895
56,60,0.0,5.4070866098497525
56,61,0.0,5.434766302029901
56,62,0.0,5.458641779003865
56,63,0.0,5.47814128635228
56,64,0.0,5.501296163942636
56,65,0.0,5.513461179907327
56,66,0.0,5.522234902062535
56,67,0.0,5.527942504157432
56,68,0.0,5.531114442697637
56,69,0.0,5.531987245817534
56,70,0.0,5.558048672652197
56,71,0.0,5.583291847485548
56,72,0.0,5.60691664762124
56,73,0.0,5.6298568164549385
56,74,0.0,5.651602928257011
56,75,0.0,5.672192441043054
56,76,0.0,5.691638412133734
56,77,0.0,5.710495009180652
56,78,0.0,5.728783953359238
56,79,0.0,5.746038761181995
56,80,0.0,5.762887951960654
56,81,0.0,5.779042650028378
56,82,0.0,5.794058602686737
56,83,0.0,5.809250134041765
56,84,0.0,5.825313186903052
